date,family,sales,onpromotion,dcoilwtico,dcoilwtico_interpolated
2013-01-01,AUTOMOTIVE,0.0,0.0,,
2013-01-01,SEAFOOD,0.0,0.0,,
2013-01-01,SCHOOL AND OFFICE SUPPLIES,0.0,0.0,,
2013-01-01,PRODUCE,0.0,0.0,,
2013-01-01,PREPARED FOODS,0.0,0.0,,
2013-01-01,POULTRY,0.0,0.0,,
2013-01-01,PLAYERS AND ELECTRONICS,0.0,0.0,,
2013-01-01,PET SUPPLIES,0.0,0.0,,
2013-01-01,PERSONAL CARE,0.0,0.0,,
2013-01-01,MAGAZINES,0.0,0.0,,
2013-01-01,"LIQUOR,WINE,BEER",0.0,0.0,,
2013-01-01,LINGERIE,0.0,0.0,,
2013-01-01,LAWN AND GARDEN,0.0,0.0,,
2013-01-01,LADIESWEAR,0.0,0.0,,
2013-01-01,HOME CARE,0.0,0.0,,
2013-01-01,HOME APPLIANCES,0.0,0.0,,
2013-01-01,MEATS,0.0,0.0,,
2013-01-01,HOME AND KITCHEN I,0.0,0.0,,
2013-01-01,HOME AND KITCHEN II,0.0,0.0,,
2013-01-01,BEAUTY,0.0,0.0,,
2013-01-01,BEVERAGES,0.0,0.0,,
2013-01-01,BOOKS,0.0,0.0,,
2013-01-01,BREAD/BAKERY,0.0,0.0,,
2013-01-01,CELEBRATION,0.0,0.0,,
2013-01-01,CLEANING,0.0,0.0,,
2013-01-01,BABY CARE,0.0,0.0,,
2013-01-01,DELI,0.0,0.0,,
2013-01-01,EGGS,0.0,0.0,,
2013-01-01,FROZEN FOODS,0.0,0.0,,
2013-01-01,GROCERY I,0.0,0.0,,
2013-01-01,GROCERY II,0.0,0.0,,
2013-01-01,HARDWARE,0.0,0.0,,
2013-01-01,DAIRY,0.0,0.0,,
2013-01-02,HOME APPLIANCES,1.0,0.0,93.14,93.14
2013-01-02,HOME CARE,0.0,0.0,93.14,93.14
2013-01-02,LADIESWEAR,0.0,0.0,93.14,93.14
2013-01-02,LAWN AND GARDEN,0.0,0.0,93.14,93.14
2013-01-02,LINGERIE,44.0,0.0,93.14,93.14
2013-01-02,"LIQUOR,WINE,BEER",73.0,0.0,93.14,93.14
2013-01-02,MAGAZINES,0.0,0.0,93.14,93.14
2013-01-02,POULTRY,311.913,0.0,93.14,93.14
2013-01-02,PET SUPPLIES,0.0,0.0,93.14,93.14
2013-01-02,PLAYERS AND ELECTRONICS,0.0,0.0,93.14,93.14
2013-01-02,PREPARED FOODS,135.0,0.0,93.14,93.14
2013-01-02,PRODUCE,0.0,0.0,93.14,93.14
2013-01-02,SCHOOL AND OFFICE SUPPLIES,0.0,0.0,93.14,93.14
2013-01-02,SEAFOOD,11.745,0.0,93.14,93.14
2013-01-02,PERSONAL CARE,427.0,0.0,93.14,93.14
2013-01-02,HOME AND KITCHEN II,0.0,0.0,93.14,93.14
2013-01-02,MEATS,455.39902,0.0,93.14,93.14
2013-01-02,HARDWARE,3.0,0.0,93.14,93.14
2013-01-02,BABY CARE,0.0,0.0,93.14,93.14
2013-01-02,BEAUTY,7.0,0.0,93.14,93.14
2013-01-02,BEVERAGES,947.0,0.0,93.14,93.14
2013-01-02,BOOKS,0.0,0.0,93.14,93.14
2013-01-02,BREAD/BAKERY,566.917,0.0,93.14,93.14
2013-01-02,CELEBRATION,0.0,0.0,93.14,93.14
2013-01-02,CLEANING,1810.0,0.0,93.14,93.14
2013-01-02,AUTOMOTIVE,6.0,0.0,93.14,93.14
2013-01-02,DAIRY,414.0,0.0,93.14,93.14
2013-01-02,GROCERY II,13.0,0.0,93.14,93.14
2013-01-02,GROCERY I,4558.0,0.0,93.14,93.14
2013-01-02,HOME AND KITCHEN I,0.0,0.0,93.14,93.14
2013-01-02,EGGS,246.0,0.0,93.14,93.14
2013-01-02,DELI,381.477,0.0,93.14,93.14
2013-01-02,FROZEN FOODS,187.168,0.0,93.14,93.14
2013-01-03,HOME CARE,0.0,0.0,92.97,92.97
2013-01-03,LADIESWEAR,0.0,0.0,92.97,92.97
2013-01-03,LAWN AND GARDEN,0.0,0.0,92.97,92.97
2013-01-03,LINGERIE,36.0,0.0,92.97,92.97
2013-01-03,"LIQUOR,WINE,BEER",47.0,0.0,92.97,92.97
2013-01-03,MAGAZINES,0.0,0.0,92.97,92.97
2013-01-03,MEATS,352.642,0.0,92.97,92.97
2013-01-03,PERSONAL CARE,312.0,0.0,92.97,92.97
2013-01-03,SEAFOOD,17.162,0.0,92.97,92.97
2013-01-03,POULTRY,196.459,0.0,92.97,92.97
2013-01-03,PREPARED FOODS,122.0,0.0,92.97,92.97
2013-01-03,PRODUCE,0.0,0.0,92.97,92.97
2013-01-03,SCHOOL AND OFFICE SUPPLIES,0.0,0.0,92.97,92.97
2013-01-03,HOME APPLIANCES,1.0,0.0,92.97,92.97
2013-01-03,PET SUPPLIES,0.0,0.0,92.97,92.97
2013-01-03,PLAYERS AND ELECTRONICS,0.0,0.0,92.97,92.97
2013-01-03,HOME AND KITCHEN II,0.0,0.0,92.97,92.97
2013-01-03,HARDWARE,0.0,0.0,92.97,92.97
2013-01-03,HOME AND KITCHEN I,0.0,0.0,92.97,92.97
2013-01-03,AUTOMOTIVE,4.0,0.0,92.97,92.97
2013-01-03,BABY CARE,0.0,0.0,92.97,92.97
2013-01-03,BEAUTY,2.0,0.0,92.97,92.97
2013-01-03,BOOKS,0.0,0.0,92.97,92.97
2013-01-03,BREAD/BAKERY,377.887,0.0,92.97,92.97
2013-01-03,CELEBRATION,0.0,0.0,92.97,92.97
2013-01-03,BEVERAGES,847.0,0.0,92.97,92.97
2013-01-03,DAIRY,366.0,0.0,92.97,92.97
2013-01-03,DELI,278.824,0.0,92.97,92.97
2013-01-03,EGGS,120.0,0.0,92.97,92.97
2013-01-03,FROZEN FOODS,117.994,0.0,92.97,92.97
2013-01-03,GROCERY I,3260.0,0.0,92.97,92.97
2013-01-03,GROCERY II,8.0,0.0,92.97,92.97
2013-01-03,CLEANING,1305.0,0.0,92.97,92.97
2013-01-04,MEATS,407.364,0.0,93.12,93.12
2013-01-04,LADIESWEAR,0.0,0.0,93.12,93.12
2013-01-04,LAWN AND GARDEN,2.0,0.0,93.12,93.12
2013-01-04,LINGERIE,23.0,0.0,93.12,93.12
2013-01-04,"LIQUOR,WINE,BEER",46.0,0.0,93.12,93.12
2013-01-04,MAGAZINES,0.0,0.0,93.12,93.12
2013-01-04,PERSONAL CARE,265.0,0.0,93.12,93.12
2013-01-04,HOME CARE,0.0,0.0,93.12,93.12
2013-01-04,PLAYERS AND ELECTRONICS,0.0,0.0,93.12,93.12
2013-01-04,POULTRY,167.29599,0.0,93.12,93.12
2013-01-04,PREPARED FOODS,87.0,0.0,93.12,93.12
2013-01-04,PRODUCE,0.0,0.0,93.12,93.12
2013-01-04,SCHOOL AND OFFICE SUPPLIES,0.0,0.0,93.12,93.12
2013-01-04,SEAFOOD,15.6310005,0.0,93.12,93.12
2013-01-04,PET SUPPLIES,0.0,0.0,93.12,93.12
2013-01-04,HOME APPLIANCES,0.0,0.0,93.12,93.12
2013-01-04,CLEANING,1159.0,0.0,93.12,93.12
2013-01-04,HOME AND KITCHEN I,0.0,0.0,93.12,93.12
2013-01-04,BABY CARE,0.0,0.0,93.12,93.12
2013-01-04,BEAUTY,3.0,0.0,93.12,93.12
2013-01-04,BEVERAGES,859.0,0.0,93.12,93.12
2013-01-04,BOOKS,0.0,0.0,93.12,93.12
2013-01-04,BREAD/BAKERY,335.761,0.0,93.12,93.12
2013-01-04,CELEBRATION,0.0,0.0,93.12,93.12
2013-01-04,HOME AND KITCHEN II,0.0,0.0,93.12,93.12
2013-01-04,AUTOMOTIVE,6.0,0.0,93.12,93.12
2013-01-04,DELI,291.408,0.0,93.12,93.12
2013-01-04,EGGS,141.0,0.0,93.12,93.12
2013-01-04,FROZEN FOODS,121.182,0.0,93.12,93.12
2013-01-04,GROCERY I,3085.0,0.0,93.12,93.12
2013-01-04,GROCERY II,23.0,0.0,93.12,93.12
2013-01-04,HARDWARE,1.0,0.0,93.12,93.12
2013-01-04,DAIRY,309.0,0.0,93.12,93.12
2013-01-05,HOME CARE,0.0,0.0,,93.12119402985076
2013-01-05,LADIESWEAR,0.0,0.0,,93.12238805970149
2013-01-05,LAWN AND GARDEN,1.0,0.0,,93.12358208955224
2013-01-05,LINGERIE,43.0,0.0,,93.124776119403
2013-01-05,"LIQUOR,WINE,BEER",79.0,0.0,,93.12597014925373
2013-01-05,MAGAZINES,0.0,0.0,,93.12716417910448
2013-01-05,MEATS,466.825,0.0,,93.12835820895523
2013-01-05,PLAYERS AND ELECTRONICS,0.0,0.0,,93.12955223880597
2013-01-05,PET SUPPLIES,0.0,0.0,,93.13074626865672
2013-01-05,POULTRY,226.044,0.0,,93.13194029850747
2013-01-05,PREPARED FOODS,80.0,0.0,,93.13313432835821
2013-01-05,PRODUCE,0.0,0.0,,93.13432835820896
2013-01-05,SCHOOL AND OFFICE SUPPLIES,0.0,0.0,,93.13552238805971
2013-01-05,HOME APPLIANCES,0.0,0.0,,93.13671641791045
2013-01-05,PERSONAL CARE,330.0,0.0,,93.1379104477612
2013-01-05,HOME AND KITCHEN II,0.0,0.0,,93.13910447761195
2013-01-05,SEAFOOD,18.779,0.0,,93.14029850746269
2013-01-05,HARDWARE,1.0,0.0,,93.14149253731344
2013-01-05,AUTOMOTIVE,4.0,0.0,,93.14268656716418
2013-01-05,BABY CARE,0.0,0.0,,93.14388059701493
2013-01-05,BEAUTY,5.0,0.0,,93.14507462686568
2013-01-05,BEVERAGES,912.0,0.0,,93.14626865671642
2013-01-05,BOOKS,0.0,0.0,,93.14746268656717
2013-01-05,BREAD/BAKERY,402.286,0.0,,93.14865671641792
2013-01-05,CELEBRATION,0.0,0.0,,93.14985074626865
2013-01-05,HOME AND KITCHEN I,0.0,0.0,,93.1510447761194
2013-01-05,DAIRY,356.0,0.0,,93.15223880597016
2013-01-05,DELI,288.754,0.0,,93.1534328358209
2013-01-05,EGGS,143.0,0.0,,93.15462686567164
2013-01-05,FROZEN FOODS,162.91,0.0,,93.1558208955224
2013-01-05,GROCERY I,3398.0,0.0,,93.15701492537313
2013-01-05,GROCERY II,18.0,0.0,,93.15820895522388
2013-01-05,CLEANING,1257.0,0.0,,93.15940298507464
2013-01-06,HOME CARE,0.0,0.0,,93.16059701492537
2013-01-06,LADIESWEAR,0.0,0.0,,93.16179104477612
2013-01-06,LAWN AND GARDEN,0.0,0.0,,93.16298507462687
2013-01-06,LINGERIE,94.0,0.0,,93.16417910447761
